,Order Date,Category,Sub-Category,Product Name,Sales,Quantity
117,2011-10-10,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",122.352,3
118,2011-10-10,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",15.28,2
119,2011-10-11,Technology,Phones,Jabra SPEAK 410,601.536,8
120,2011-10-11,Furniture,Furnishings,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",53.2,5
121,2011-10-11,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,39.88,2
122,2011-10-11,Office Supplies,Paper,"Southworth 100% Résumé Paper, 24lb.",62.24,8
123,2011-10-11,Office Supplies,Labels,Avery White Multi-Purpose Labels,39.84,8
124,2011-10-11,Technology,Accessories,Memorex Froggy Flash Drive 4 GB,10.99,1
125,2011-11-03,Office Supplies,Art,Economy #2 Pencils,7.98,3
126,2011-11-09,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",127.95,3
127,2011-11-10,Furniture,Chairs,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,433.568,2
128,2011-11-10,Office Supplies,Storage,Iris Project Case,31.92,4
129,2011-11-10,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",7.64,1
130,2011-11-11,Technology,Phones,Mophie Juice Pack Helium for iPhone,575.928,9
131,2011-11-11,Office Supplies,Paper,Xerox 1979,123.92,4
132,2011-11-11,Furniture,Chairs,Hon Olson Stacker Stools,112.648,1
133,2011-11-11,Office Supplies,Art,50 Colored Long Pencils,30.48,3
134,2011-11-11,Office Supplies,Appliances,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",7.78,2
135,2011-12-04,Technology,Phones,Pyle PMP37LED,1075.088,14
136,2011-12-04,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,308.499,3
137,2011-12-04,Technology,Phones,AT&T 1080 Corded phone,438.368,4
138,2011-12-04,Office Supplies,Art,Prismacolor Color Pencil Set,39.68,2
139,2011-12-04,Office Supplies,Binders,Recycled Pressboard Report Cover with Reinforced Top Hinge,18.088,7
140,2011-12-07,Furniture,Tables,Hon 5100 Series Wood Tables,698.352,3
141,2011-12-07,Office Supplies,Storage,Fellowes Super Stor/Drawer,249.75,9
142,2011-12-07,Technology,Phones,GE DSL Phone Line Filter,255.936,8
143,2011-12-07,Office Supplies,Binders,Tuff Stuff Recycled Round Ring Binders,7.712,2
144,2011-12-08,Technology,Phones,BlackBerry Q10,806.336,8
145,2011-12-08,Furniture,Furnishings,"Seth Thomas 14"" Day/Date Wall Clock",85.44,3
146,2011-12-10,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1
147,2011-12-10,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5
148,2011-12-11,Furniture,Tables,Bevis Boat-Shaped Conference Table,629.064,3
149,2011-12-11,Office Supplies,Paper,Xerox 1974,11.96,2
150,2011-12-12,Furniture,Tables,Bretford Rectangular Conference Table Tops,3610.848,12
151,2011-12-12,Furniture,Tables,Hon Non-Folding Utility Tables,764.688,6
152,2011-12-12,Furniture,Bookcases,Bestar Classic Bookcase,254.9745,3
153,2011-12-12,Furniture,Furnishings,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,43.31,1
154,2011-12-12,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Burgundy",12.54,3
155,2011-12-12,Furniture,Furnishings,Longer-Life Soft White Bulbs,9.24,3
156,2011-12-12,Office Supplies,Storage,Woodgrain Magazine Files by Perma,8.94,3
157,2012-01-05,Technology,Phones,OtterBox Defender Series Case - iPhone 5c,88.752,3
158,2012-01-05,Office Supplies,Supplies,"Acme 10"" Easy Grip Assistive Scissors",35.06,2
159,2012-01-05,Office Supplies,Storage,Eldon Simplefile Box Office,37.32,3
160,2012-01-05,Office Supplies,Binders,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",12.176,1
161,2012-01-06,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",11.76,2
162,2012-01-08,Furniture,Tables,Hon 2111 Invitation Series Corner Table,1004.976,6
163,2012-01-08,Office Supplies,Art,Prang Dustless Chalk Sticks,6.72,4
164,2012-01-09,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,959.984,2
165,2012-01-09,Office Supplies,Binders,Avery Non-Stick Binders,14.368,4
166,2012-01-09,Office Supplies,Binders,Storex Dura Pro Binders,4.752,1
167,2012-01-12,Furniture,Chairs,GuestStacker Chair with Chrome Finish Legs,2676.672,9
168,2012-02-04,Technology,Machines,"Vtech AT&T CL2940 Corded Speakerphone, Black",71.976,3
169,2012-02-10,Technology,Phones,HTC One Mini,503.96,5
170,2012-02-10,Office Supplies,Storage,Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,270.34,14
171,2012-02-10,Office Supplies,Binders,GBC Poly Designer Binding Covers,53.568,4
172,2012-02-10,Office Supplies,Binders,GBC Personal VeloBind Strips,57.504,6
173,2012-02-10,Office Supplies,Binders,Pressboard Hanging Data Binders for Unburst Sheets,11.808,3
174,2012-02-11,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",1038.84,5
175,2012-02-11,Furniture,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,512.499,3
176,2012-02-11,Office Supplies,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern,117.488,7
177,2012-02-11,Furniture,Furnishings,Contemporary Wood/Metal Frame,96.96,6
178,2012-02-11,Office Supplies,Binders,Cardinal Holdit Business Card Pockets,11.952,3
179,2012-03-02,Furniture,Furnishings,Hand-Finished Solid Wood Document Frame,136.92,4
180,2012-03-05,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,4
181,2012-03-05,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",665.88,6
182,2012-03-05,Office Supplies,Binders,GBC Linen Binding Covers,49.568,2
183,2012-03-05,Office Supplies,Binders,Ibico Recycled Linen-Style Covers,62.496,2
184,2012-03-05,Office Supplies,Art,Newell 317,8.82,3
185,2012-03-05,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,13.848,3
186,2012-03-09,Technology,Accessories,"TRENDnet 56K USB 2.0 Phone, Internet and Fax Modem",129.45,5
187,2012-03-09,Office Supplies,Storage,Sterilite Officeware Hinged File Box,31.44,3
188,2012-03-09,Furniture,Chairs,Office Star - Ergonomically Designed Knee Chair,129.568,2
189,2012-03-09,Technology,Accessories,Kingston Digital DataTraveler 16GB USB 2.0,17.9,2
190,2012-03-09,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",6.368,2
191,2012-03-10,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",120.666,2
192,2012-03-11,Technology,Phones,Cisco IP Phone 7961G-GE VoIP phone,1212.848,7
193,2012-03-11,Technology,Accessories,Logitech Trackman Marble Mouse,89.97,3
194,2012-03-11,Furniture,Furnishings,Coloredge Poster Frame,42.6,3
195,2012-03-12,Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",359.499,3
196,2012-04-06,Technology,Accessories,Logitech Z-906 Speaker sys - home theater - 5.1-CH,989.97,3
197,2012-04-06,Technology,Accessories,Logitech Wireless Anywhere Mouse MX for PC and Mac,119.98,2
198,2012-04-07,Office Supplies,Binders,Avery Premier Heavy-Duty Binder with Round Locking Rings,22.848,2
199,2012-04-10,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",26.96,2
200,2012-04-12,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,271.44,3
201,2012-04-12,Technology,Phones,Jensen SMPS-640 - speaker phone,110.352,3
202,2012-04-12,Furniture,Furnishings,"Master Caster Door Stop, Large Brown",36.4,5
203,2012-04-12,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Burgundy",25.08,6
204,2012-04-12,Office Supplies,Art,Avery Hi-Liter Fluorescent Desk Style Markers,16.9,5
205,2012-05-01,Office Supplies,Binders,Fellowes Binding Cases,56.16,6
206,2012-05-01,Office Supplies,Appliances,Acco 6 Outlet Guardian Premium Surge Suppressor,87.36,6
207,2012-05-04,Furniture,Chairs,GuestStacker Chair with Chrome Finish Legs,892.224,3
208,2012-05-09,Furniture,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",411.332,4
209,2012-05-09,Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",293.199,3
210,2012-05-09,Office Supplies,Binders,"DXL Angle-View Binders with Locking Rings, Black",28.752,6
211,2012-05-11,Office Supplies,Storage,Hanging Personal Folder File,62.8,4
212,2012-05-12,Furniture,Furnishings,"Executive Impressions 14"" Contract Wall Clock",44.46,2
213,2012-05-12,Technology,Accessories,Memorex Micro Travel Drive 8 GB,39.0,3
214,2012-05-12,Office Supplies,Labels,Avery 488,12.6,4
215,2012-06-03,Technology,Copiers,Canon PC1060 Personal Laser Copier,1119.984,2
216,2012-06-03,Furniture,Furnishings,Deflect-o Glass Clear Studded Chair Mats,435.26,7
217,2012-06-07,Furniture,Chairs,Novimex Turbo Task Chair,170.352,3
218,2012-06-09,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,46.32,4
219,2012-06-12,Technology,Phones,AT&T 1080 Corded phone,219.184,2
220,2012-06-12,Office Supplies,Art,Stanley Contemporary Battery Pencil Sharpeners,120.15,9
221,2012-06-12,Office Supplies,Paper,"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4"" X 5""",32.75,5
222,2012-06-12,Office Supplies,Paper,Spiral Phone Message Books with Labels by Adams,8.96,2
223,2012-06-12,Office Supplies,Appliances,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",7.78,2
224,2012-07-06,Office Supplies,Binders,Staples,7.52,5
225,2012-07-08,Office Supplies,Binders,Cardinal Hold-It CD Pocket,19.152,3
226,2012-07-09,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,7
227,2012-07-11,Furniture,Chairs,Safco Contoured Stacking Chairs,190.72,1
228,2012-07-12,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,79.92,4
229,2012-07-12,Office Supplies,Paper,Xerox 218,12.96,2
230,2012-08-08,Furniture,Chairs,Global Ergonomic Managers Chair,144.784,1
231,2012-08-08,Office Supplies,Binders,Presstex Flexible Ring Binders,7.28,2
232,2012-08-08,Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1""",6.608,2
233,2012-08-09,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,41.88,6
234,2012-08-09,Office Supplies,Paper,Xerox 1928,26.4,5
235,2012-08-10,Furniture,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",145.9,5
236,2012-08-11,Technology,Accessories,Logitech G19 Programmable Gaming Keyboard,371.97,3
237,2012-08-11,Technology,Accessories,Microsoft Arc Touch Mouse,119.9,2
238,2012-08-11,Office Supplies,Fasteners,Advantus Plastic Paper Clips,5.0,1
239,2012-08-12,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",221.96,2
240,2012-08-12,Technology,Accessories,WD My Passport Ultra 500GB Portable External Hard Drive,236.0,4
241,2012-09-02,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",203.92,5
242,2012-09-04,Furniture,Tables,Laminate Occasional Tables,369.912,3
243,2012-09-11,Office Supplies,Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",2.48,2
244,2012-10-04,Office Supplies,Binders,Insertable Tab Post Binder Dividers,12.832,2
245,2012-10-07,Office Supplies,Binders,Large Capacity Hanging Post Binders,39.92,2
246,2012-10-09,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",106.68,6
247,2012-10-09,Office Supplies,Supplies,Martin-Yale Premier Letter Opener,51.52,4
248,2012-10-10,Furniture,Chairs,"Global Leather & Oak Executive Chair, Burgundy",362.136,3
249,2012-10-10,Office Supplies,Labels,Avery 503,31.05,3
250,2012-10-10,Office Supplies,Paper,Xerox 1894,45.36,7
251,2012-10-11,Technology,Accessories,Microsoft Sculpt Comfort Mouse,79.9,2
252,2012-10-12,Office Supplies,Art,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",56.3,2
253,2012-10-12,Office Supplies,Labels,Avery File Folder Labels,5.76,2
254,2012-11-04,Technology,Copiers,Canon PC-428 Personal Copier,639.968,4
255,2012-11-04,Office Supplies,Paper,Staples,52.76,2
256,2012-11-09,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",265.86,7
257,2012-11-09,Office Supplies,Art,Boston 19500 Mighty Mite Electric Pencil Sharpener,181.35,9
258,2012-11-09,Office Supplies,Labels,Avery 474,8.64,3
259,2012-11-12,Office Supplies,Binders,GBC Recycled Grain Textured Covers,110.528,4
260,2012-12-05,Office Supplies,Paper,Xerox 1962,12.84,3
261,2012-12-05,Office Supplies,Paper,Xerox 1953,25.68,6
262,2012-12-11,Office Supplies,Paper,"Adams ""While You Were Out"" Message Pads",15.7,5
263,2012-12-12,Technology,Accessories,Logitech Wireless Marathon Mouse M705,299.94,6
264,2012-12-12,Office Supplies,Storage,Standard Rollaway File with Lock,360.38,2
265,2012-12-12,Furniture,Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",348.928,2
266,2012-12-12,Furniture,Furnishings,Eldon Cleatmat Chair Mats for Medium Pile Carpets,166.5,3
267,2012-12-12,Office Supplies,Supplies,Staples,25.76,7
268,2012-12-12,Office Supplies,Paper,"Black Print Carbonless Snap-Off Rapid Letter, 8 1/2"" x 7""",36.44,4
269,2012-12-12,Office Supplies,Envelopes,Peel & Seel Envelopes,15.52,4
270,2012-12-12,Office Supplies,Binders,Recycled Premium Regency Composition Covers,24.448,2
271,2012-12-12,Office Supplies,Fasteners,Staples,7.86,2
272,2012-12-12,Office Supplies,Art,Newell 311,2.21,1
273,2013-01-02,Office Supplies,Paper,Xerox 1883,105.52,4
274,2013-01-08,Furniture,Tables,Laminate Occasional Tables,863.128,7
275,2013-01-11,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,1403.92,5
276,2013-01-11,Office Supplies,Storage,"Dual Level, Single-Width Filing Carts",1085.42,7
277,2013-02-08,Technology,Phones,Apple iPhone 5,1039.728,2
278,2013-02-08,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,45.96,2
279,2013-02-09,Office Supplies,Envelopes,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",21.88,2
280,2013-02-09,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,12.78,1
281,2013-02-10,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",194.848,4
282,2013-02-12,Office Supplies,Storage,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",1112.94,3
283,2013-02-12,Furniture,Furnishings,Tenex Chairmats For Use With Carpeted Floors,31.96,2
284,2013-02-12,Office Supplies,Paper,Xerox 1886,47.9,1
285,2013-02-12,Furniture,Furnishings,Westinghouse Clip-On Gooseneck Lamps,16.74,2
286,2013-02-12,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",23.04,8
287,2013-02-12,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",22.92,3
288,2013-03-01,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,114.46,2
289,2013-03-07,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,195.184,1
290,2013-03-08,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,333.576,3
291,2013-03-08,Furniture,Tables,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",136.464,2
292,2013-03-08,Office Supplies,Binders,XtraLife ClearVue Slant-D Ring Binders by Cardinal,12.544,2
293,2013-03-09,Technology,Phones,Cisco Unified IP Phone 7945G VoIP phone,1091.168,4
294,2013-03-09,Furniture,Tables,Chromcraft Rectangular Conference Tables,568.728,3
295,2013-03-09,Furniture,Furnishings,Ultra Door Pull Handle,94.68,9
296,2013-03-09,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",46.53,3
297,2013-03-09,Office Supplies,Art,Blackstonian Pencils,18.69,7
298,2013-03-09,Office Supplies,Storage,Akro Stacking Bins,23.67,3
299,2013-03-09,Office Supplies,Binders,SpineVue Locking Slant-D Ring Binders by Cardinal,7.312,1
300,2013-03-12,Office Supplies,Binders,Satellite Sectional Post Binders,104.184,3
301,2013-03-12,Office Supplies,Appliances,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",59.7,3
302,2013-03-12,Office Supplies,Paper,HP Office Recycled Paper (20Lb. and 87 Bright),40.46,7
