,Order Date,Category,Sub-Category,Product Name,Sales,Quantity,Day,Month,Year
179,2011-08-15,Office Supplies,Binders,GBC Durable Plastic Covers,46.44,3.0,15,8,2011
182,2011-08-19,Office Supplies,Binders,Satellite Sectional Post Binders,69.456,2.0,19,8,2011
183,2011-08-23,Office Supplies,Binders,GBC Linen Binding Covers,49.568,2.0,23,8,2011
184,2011-08-25,Technology,Accessories,SanDisk Cruzer 32 GB USB Flash Drive,95.1,5.0,25,8,2011
185,2011-08-25,Office Supplies,Storage,Portable Personal File Box,48.84,4.0,25,8,2011
186,2011-08-25,Office Supplies,Paper,Xerox 23,25.92,4.0,25,8,2011
189,2011-08-27,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3.0,27,8,2011
190,2011-08-27,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4.0,27,8,2011
192,2011-08-29,Office Supplies,Paper,Xerox 1940,109.92,2.0,29,8,2011
194,2011-01-09,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",53.94,3.0,9,1,2011
197,2011-07-09,Office Supplies,Binders,Avery Legal 4-Ring Binder,83.92,5.0,9,7,2011
198,2011-07-09,Office Supplies,Supplies,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",27.36,4.0,9,7,2011
199,2011-07-09,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",20.56,2.0,9,7,2011
200,2011-08-09,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",56.65,5.0,9,8,2011
201,2011-08-09,Technology,Accessories,Logitech Wireless Touch Keyboard K400,49.98,2.0,9,8,2011
205,2011-11-09,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",127.95,3.0,9,11,2011
206,2011-09-17,Office Supplies,Envelopes,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",182.94,3.0,17,9,2011
209,2011-09-20,Office Supplies,Appliances,Staples,43.92,4.0,20,9,2011
210,2011-09-20,Office Supplies,Binders,Ibico Plastic and Wire Spiral Binding Combs,20.232,3.0,20,9,2011
211,2011-09-20,Office Supplies,Paper,"Wirebound Message Book, 4 per Page",21.72,4.0,20,9,2011
215,2011-09-21,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",78.35,5.0,21,9,2011
216,2011-09-21,Office Supplies,Art,Newell 34,59.52,3.0,21,9,2011
220,2011-09-22,Office Supplies,Storage,"File Shuttle II and Handi-File, Black",169.45,5.0,22,9,2011
221,2011-09-22,Office Supplies,Storage,Tennsco Commercial Shelving,40.68,2.0,22,9,2011
223,2011-09-23,Technology,Phones,netTALK DUO VoIP Telephone Service,83.984,2.0,23,9,2011
224,2011-09-24,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4.0,24,9,2011
226,2011-09-26,Furniture,Chairs,"Leather Task Chair, Black",145.568,2.0,26,9,2011
229,2011-09-27,Office Supplies,Paper,Xerox 1919,81.98,2.0,27,9,2011
231,2011-09-29,Furniture,Furnishings,Luxo Professional Combination Clamp-On Lamps,204.6,2.0,29,9,2011
236,2011-03-10,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",122.352,3.0,10,3,2011
237,2011-04-10,Office Supplies,Binders,GBC Recycled Regency Composition Covers,95.648,2.0,10,4,2011
239,2011-05-10,Technology,Accessories,Plantronics Audio 478 Stereo USB Headset,99.98,2.0,10,5,2011
241,2011-09-10,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,144.6,3.0,10,9,2011
243,2011-10-10,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",122.352,3.0,10,10,2011
246,2011-11-10,Office Supplies,Storage,Iris Project Case,31.92,4.0,10,11,2011
250,2011-10-16,Technology,Accessories,Logitech Illuminated - Keyboard,179.97,3.0,16,10,2011
253,2011-10-19,Technology,Phones,Panasonic KX TS208W Corded phone,117.576,3.0,19,10,2011
254,2011-10-19,Office Supplies,Paper,Xerox 1917,146.73,3.0,19,10,2011
259,2011-10-21,Office Supplies,Binders,Plastic Binding Combs,36.36,3.0,21,10,2011
260,2011-10-24,Office Supplies,Binders,Avery Premier Heavy-Duty Binder with Round Locking Rings,34.272,3.0,24,10,2011
261,2011-10-25,Office Supplies,Binders,GBC VeloBind Cover Sets,49.408,4.0,25,10,2011
264,2011-10-28,Office Supplies,Storage,Eldon Portable Mobile Manager,141.4,5.0,28,10,2011
268,2011-10-31,Technology,Phones,Motorola L804,73.584,2.0,31,10,2011
269,2011-10-31,Furniture,Chairs,Novimex Fabric Task Chair,146.352,3.0,31,10,2011
271,2011-10-31,Office Supplies,Storage,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",80.3,5.0,31,10,2011
277,2011-01-11,Office Supplies,Labels,Avery 475,44.4,3.0,11,1,2011
278,2011-01-11,Office Supplies,Paper,Staples,21.4,5.0,11,1,2011
280,2011-02-11,Technology,Phones,AT&T CL82213,46.384,2.0,11,2,2011
285,2011-04-11,Furniture,Furnishings,"Executive Impressions 12"" Wall Clock",35.34,2.0,11,4,2011
286,2011-04-11,Office Supplies,Binders,Cardinal EasyOpen D-Ring Binders,21.936,3.0,11,4,2011
294,2011-09-11,Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",222.666,2.0,11,9,2011
295,2011-09-11,Office Supplies,Paper,Xerox 1912,94.85,5.0,11,9,2011
299,2011-10-11,Furniture,Furnishings,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",53.2,5.0,11,10,2011
300,2011-10-11,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,39.88,2.0,11,10,2011
305,2011-11-11,Office Supplies,Paper,Xerox 1979,123.92,4.0,11,11,2011
307,2011-11-11,Office Supplies,Art,50 Colored Long Pencils,30.48,3.0,11,11,2011
312,2011-11-15,Office Supplies,Supplies,Acme Box Cutter Scissors,20.46,2.0,15,11,2011
317,2011-11-16,Technology,Phones,OtterBox Commuter Series Case - Samsung Galaxy S4,79.968,4.0,16,11,2011
321,2011-11-17,Technology,Accessories,Case Logic 2.4GHz Wireless Keyboard,99.98,2.0,17,11,2011
329,2011-11-23,Office Supplies,Envelopes,Pastel Pink Envelopes,21.84,3.0,23,11,2011
330,2011-11-24,Furniture,Furnishings,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",151.72,4.0,24,11,2011
335,2011-11-25,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",26.76,4.0,25,11,2011
336,2011-11-25,Furniture,Furnishings,Staples,23.88,3.0,25,11,2011
338,2011-11-26,Office Supplies,Paper,Xerox 1893,81.98,2.0,26,11,2011
339,2011-11-26,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,40.54,2.0,26,11,2011
345,2011-11-28,Office Supplies,Appliances,Acco 6 Outlet Guardian Premium Surge Suppressor,43.68,3.0,28,11,2011
346,2011-11-28,Office Supplies,Labels,Avery 489,41.4,4.0,28,11,2011
349,2011-11-29,Office Supplies,Fasteners,Staples,30.4,5.0,29,11,2011
350,2011-01-12,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",58.2,3.0,12,1,2011
352,2011-05-12,Office Supplies,Paper,Xerox 1933,49.12,4.0,12,5,2011
356,2011-07-12,Office Supplies,Paper,Green Bar Computer Printout Paper,164.88,3.0,12,7,2011
358,2011-08-12,Furniture,Furnishings,DAX Natural Wood-Tone Poster Frame,79.44,3.0,12,8,2011
359,2011-08-12,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,39.88,2.0,12,8,2011
374,2011-12-16,Furniture,Furnishings,"Executive Impressions 14"" Contract Wall Clock",44.46,2.0,16,12,2011
376,2011-12-19,Technology,Phones,Clarity 53712,211.168,4.0,19,12,2011
377,2011-12-19,Office Supplies,Fasteners,Advantus T-Pin Paper Clips,22.55,5.0,19,12,2011
380,2011-12-20,Office Supplies,Binders,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",155.12,5.0,20,12,2011
381,2011-12-20,Office Supplies,Art,Boston Home & Office Model 2000 Electric Pencil Sharpeners,47.3,2.0,20,12,2011
391,2011-12-24,Technology,Accessories,Sony 32GB Class 10 Micro SDHC R40 Memory Card,62.85,3.0,24,12,2011
398,2011-12-27,Office Supplies,Binders,GBC VeloBind Cover Sets,37.056,3.0,27,12,2011
403,2011-12-27,Office Supplies,Storage,Advantus Rolling Storage Box,51.45,3.0,27,12,2011
405,2011-12-28,Office Supplies,Supplies,Acme Box Cutter Scissors,51.15,5.0,28,12,2011
407,2011-12-29,Technology,Phones,Mophie Juice Pack Helium for iPhone,191.976,3.0,29,12,2011
411,2011-12-29,Office Supplies,Paper,Xerox 1981,21.12,4.0,29,12,2011
412,2011-12-29,Furniture,Furnishings,Stacking Trays by OIC,24.9,5.0,29,12,2011
418,2012-01-13,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",77.6,4.0,13,1,2012
419,2012-01-13,Office Supplies,Binders,Binding Machine Supplies,70.008,3.0,13,1,2012
424,2012-03-02,Furniture,Furnishings,Hand-Finished Solid Wood Document Frame,136.92,4.0,2,3,2012
425,2012-09-02,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",203.92,5.0,2,9,2012
427,2012-02-15,Office Supplies,Binders,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",41.72,5.0,15,2,2012
432,2012-02-16,Office Supplies,Paper,Xerox 1881,36.84,3.0,16,2,2012
433,2012-02-18,Office Supplies,Labels,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",61.06,2.0,18,2,2012
436,2012-02-29,Furniture,Chairs,Global Deluxe Steno Chair,184.752,3.0,29,2,2012
445,2012-03-19,Office Supplies,Supplies,Acme Elite Stainless Steel Scissors,33.36,4.0,19,3,2012
451,2012-03-22,Office Supplies,Paper,Staples,105.52,4.0,22,3,2012
452,2012-03-22,Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,91.96,2.0,22,3,2012
456,2012-03-23,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",33.36,4.0,23,3,2012
458,2012-03-28,Office Supplies,Paper,Xerox 1977,33.4,5.0,28,3,2012
460,2012-03-29,Technology,Accessories,Memorex Froggy Flash Drive 8 GB,53.25,3.0,29,3,2012
462,2012-03-29,Furniture,Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,19.92,3.0,29,3,2012
463,2012-02-04,Technology,Machines,"Vtech AT&T CL2940 Corded Speakerphone, Black",71.976,3.0,4,2,2012
468,2012-11-04,Office Supplies,Paper,Staples,52.76,2.0,4,11,2012
473,2012-04-13,Technology,Accessories,Plantronics Audio 478 Stereo USB Headset,199.96,4.0,13,4,2012
474,2012-04-13,Office Supplies,Appliances,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,75.84,2.0,13,4,2012
475,2012-04-13,Furniture,Furnishings,Flat Face Poster Frame,37.68,2.0,13,4,2012
481,2012-04-18,Office Supplies,Storage,Advantus Rolling Drawer Organizers,115.44,3.0,18,4,2012
483,2012-04-18,Office Supplies,Paper,Xerox 19,61.96,2.0,18,4,2012
484,2012-04-22,Office Supplies,Art,Boston 1730 StandUp Electric Pencil Sharpener,64.14,3.0,22,4,2012
485,2012-04-22,Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",88.776,3.0,22,4,2012
486,2012-04-25,Office Supplies,Envelopes,Laser & Ink Jet Business Envelopes,21.34,2.0,25,4,2012
489,2012-04-26,Furniture,Chairs,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,63.936,3.0,26,4,2012
490,2012-04-26,Office Supplies,Art,Newell 345,59.52,3.0,26,4,2012
491,2012-04-26,Office Supplies,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern,50.352,3.0,26,4,2012
492,2012-04-30,Office Supplies,Art,Newell 324,34.65,3.0,30,4,2012
493,2012-04-30,Technology,Phones,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,19.8,5.0,30,4,2012
494,2012-01-05,Technology,Phones,OtterBox Defender Series Case - iPhone 5c,88.752,3.0,5,1,2012
495,2012-01-05,Office Supplies,Supplies,"Acme 10"" Easy Grip Assistive Scissors",35.06,2.0,5,1,2012
496,2012-01-05,Office Supplies,Storage,Eldon Simplefile Box Office,37.32,3.0,5,1,2012
500,2012-03-05,Office Supplies,Binders,GBC Linen Binding Covers,49.568,2.0,5,3,2012
501,2012-03-05,Office Supplies,Binders,Ibico Recycled Linen-Style Covers,62.496,2.0,5,3,2012
509,2012-05-14,Furniture,Chairs,Novimex Fabric Task Chair,97.568,2.0,14,5,2012
510,2012-05-14,Furniture,Furnishings,Dana Halogen Swing-Arm Architect Lamp,122.91,3.0,14,5,2012
517,2012-05-31,Office Supplies,Paper,Xerox 1883,105.52,4.0,31,5,2012
522,2012-04-06,Technology,Accessories,Logitech Wireless Anywhere Mouse MX for PC and Mac,119.98,2.0,6,4,2012
524,2012-06-13,Office Supplies,Binders,Aluminum Screw Posts,36.624,3.0,13,6,2012
526,2012-06-18,Office Supplies,Art,"BOSTON Ranger #55 Pencil Sharpener, Black",51.98,2.0,18,6,2012
527,2012-06-19,Office Supplies,Envelopes,Cameo Buff Policy Envelopes,186.69,3.0,19,6,2012
530,2012-06-20,Technology,Phones,netTALK DUO VoIP Telephone Service,125.976,3.0,20,6,2012
532,2012-06-23,Technology,Phones,"Plantronics CS 50-USB - headset - Convertible, Monaural",217.584,2.0,23,6,2012
533,2012-06-23,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,143.976,3.0,23,6,2012
536,2012-06-25,Furniture,Furnishings,Dana Halogen Swing-Arm Architect Lamp,204.85,5.0,25,6,2012
537,2012-06-25,Office Supplies,Binders,"GBC Velobind Prepunched Cover Sets, Regency Series",88.752,3.0,25,6,2012
538,2012-06-25,Office Supplies,Art,Staples,20.96,2.0,25,6,2012
539,2012-04-07,Office Supplies,Binders,Avery Premier Heavy-Duty Binder with Round Locking Rings,22.848,2.0,7,4,2012
540,2012-06-07,Furniture,Chairs,Novimex Turbo Task Chair,170.352,3.0,7,6,2012
541,2012-10-07,Office Supplies,Binders,Large Capacity Hanging Post Binders,39.92,2.0,7,10,2012
544,2012-07-17,Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",195.466,2.0,17,7,2012
547,2012-07-26,Office Supplies,Envelopes,Airmail Envelopes,167.86,2.0,26,7,2012
548,2012-07-26,Office Supplies,Art,Newell 334,99.2,5.0,26,7,2012
560,2012-08-13,Furniture,Furnishings,Ultra Door Pull Handle,31.56,3.0,13,8,2012
561,2012-08-13,Office Supplies,Art,50 Colored Long Pencils,50.8,5.0,13,8,2012
564,2012-08-15,Office Supplies,Storage,Mobile Personal File Cube,70.26,3.0,15,8,2012
567,2012-08-21,Office Supplies,Paper,Xerox 191,59.94,3.0,21,8,2012
569,2012-08-21,Office Supplies,Paper,Xerox 1974,23.92,4.0,21,8,2012
571,2012-08-25,Office Supplies,Appliances,Fellowes Advanced Computer Series Surge Protectors,105.96,4.0,25,8,2012
574,2012-08-27,Office Supplies,Paper,Xerox 1973,114.2,5.0,27,8,2012
575,2012-08-27,Office Supplies,Supplies,Fiskars Softgrip Scissors,32.94,3.0,27,8,2012
581,2012-08-28,Office Supplies,Binders,GBC Wire Binding Combs,41.36,5.0,28,8,2012
582,2012-08-28,Technology,Phones,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,43.176,3.0,28,8,2012
586,2012-08-31,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,137.24,5.0,31,8,2012
593,2012-03-09,Technology,Accessories,"TRENDnet 56K USB 2.0 Phone, Internet and Fax Modem",129.45,5.0,9,3,2012
594,2012-03-09,Office Supplies,Storage,Sterilite Officeware Hinged File Box,31.44,3.0,9,3,2012
595,2012-03-09,Furniture,Chairs,Office Star - Ergonomically Designed Knee Chair,129.568,2.0,9,3,2012
601,2012-06-09,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,46.32,4.0,9,6,2012
604,2012-08-09,Office Supplies,Paper,Xerox 1928,26.4,5.0,9,8,2012
606,2012-10-09,Office Supplies,Supplies,Martin-Yale Premier Letter Opener,51.52,4.0,9,10,2012
611,2012-09-13,Office Supplies,Paper,Xerox 1915,209.7,2.0,13,9,2012
613,2012-09-13,Furniture,Furnishings,Eldon Econocleat Chair Mats for Low Pile Carpets,207.35,5.0,13,9,2012
614,2012-09-13,Furniture,Furnishings,Tensor Computer Mounted Lamp,44.67,3.0,13,9,2012
615,2012-09-13,Office Supplies,Binders,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",25.032,3.0,13,9,2012
616,2012-09-14,Furniture,Tables,KI Conference Tables,170.136,3.0,14,9,2012
617,2012-09-17,Office Supplies,Paper,Xerox 216,32.4,5.0,17,9,2012
620,2012-09-18,Office Supplies,Paper,Rediform S.O.S. Phone Message Books,19.92,4.0,18,9,2012
621,2012-09-18,Furniture,Furnishings,Advantus Panel Wall Certificate Holder - 8.5x11,24.4,2.0,18,9,2012
625,2012-09-19,Office Supplies,Paper,Personal Creations Ink Jet Cards and Labels,22.96,2.0,19,9,2012
626,2012-09-19,Furniture,Furnishings,"Seth Thomas 8 1/2"" Cubicle Clock",60.84,3.0,19,9,2012
629,2012-09-22,Furniture,Furnishings,Luxo Professional Combination Clamp-On Lamps,204.6,2.0,22,9,2012
630,2012-09-22,Office Supplies,Appliances,Kensington 6 Outlet Guardian Standard Surge Protector,61.44,3.0,22,9,2012
634,2012-09-26,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",64.17,3.0,26,9,2012
635,2012-09-26,Office Supplies,Envelopes,Cameo Buff Policy Envelopes,124.46,2.0,26,9,2012
636,2012-09-27,Office Supplies,Paper,Xerox 1916,146.82,3.0,27,9,2012
639,2012-09-28,Office Supplies,Appliances,Holmes HEPA Air Purifier,43.56,2.0,28,9,2012
640,2012-09-28,Office Supplies,Appliances,"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",186.15,3.0,28,9,2012
641,2012-09-28,Office Supplies,Appliances,Holmes Odor Grabber,43.26,3.0,28,9,2012
643,2012-09-28,Office Supplies,Supplies,Acme Galleria Hot Forged Steel Scissors with Colored Handles,47.19,3.0,28,9,2012
644,2012-09-28,Technology,Phones,Motorola HK250 Universal Bluetooth Headset,36.784,2.0,28,9,2012
647,2012-02-10,Office Supplies,Binders,GBC Poly Designer Binding Covers,53.568,4.0,10,2,2012
650,2012-03-10,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",120.666,2.0,10,3,2012
651,2012-04-10,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",26.96,2.0,10,4,2012
652,2012-08-10,Furniture,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",145.9,5.0,10,8,2012
654,2012-10-10,Office Supplies,Labels,Avery 503,31.05,3.0,10,10,2012
656,2012-10-17,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2.0,17,10,2012
671,2012-10-25,Office Supplies,Art,Boston 19500 Mighty Mite Electric Pencil Sharpener,60.45,3.0,25,10,2012
673,2012-10-29,Office Supplies,Envelopes,"Strathmore #10 Envelopes, Ultimate White",210.84,4.0,29,10,2012
674,2012-10-29,Office Supplies,Paper,Xerox 1898,33.4,5.0,29,10,2012
680,2012-10-31,Office Supplies,Storage,Mobile Personal File Cube,46.84,2.0,31,10,2012
681,2012-10-31,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",29.8,5.0,31,10,2012
683,2012-10-31,Office Supplies,Supplies,Acme Tagit Stainless Steel Antibacterial Scissors,29.7,3.0,31,10,2012
695,2012-03-11,Technology,Accessories,Logitech Trackman Marble Mouse,89.97,3.0,11,3,2012
696,2012-03-11,Furniture,Furnishings,Coloredge Poster Frame,42.6,3.0,11,3,2012
697,2012-05-11,Office Supplies,Storage,Hanging Personal Folder File,62.8,4.0,11,5,2012
700,2012-08-11,Technology,Accessories,Microsoft Arc Touch Mouse,119.9,2.0,11,8,2012
703,2012-10-11,Technology,Accessories,Microsoft Sculpt Comfort Mouse,79.9,2.0,11,10,2012
713,2012-11-17,Furniture,Furnishings,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",80.96,4.0,17,11,2012
714,2012-11-17,Furniture,Furnishings,Advantus Panel Wall Certificate Holder - 8.5x11,36.6,3.0,17,11,2012
715,2012-11-17,Office Supplies,Paper,Xerox 203,32.4,5.0,17,11,2012
717,2012-11-20,Office Supplies,Binders,"Performers Binder/Pad Holder, Black",89.696,4.0,20,11,2012
718,2012-11-20,Office Supplies,Labels,Avery 485,50.12,4.0,20,11,2012
722,2012-11-20,Furniture,Furnishings,Dana Swing-Arm Lamps,32.04,3.0,20,11,2012
